Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
2859,0.0424194,-0.0408936,-0.0689697,-0.0152588,0.032959,-0.0674438,-0.0131226,0.119629,0.00427246,0.0375366,0.0335693,0.017395,0.00854492,-0.00427246,-0.0244141,-0.0189209
2859,0.0424194,-0.0408936,-0.0689697,-0.0152588,0.032959,-0.0674438,-0.0131226,0.119629,0.00427246,0.0375366,0.0335693,0.017395,0.00854492,-0.00427246,-0.0244141,-0.0189209
2969,0.0411987,-0.0430298,-0.0689697,-0.0158691,0.0332642,-0.067749,-0.0131226,0.12085,0.00427246,0.0369263,0.0305176,0.0152588,0.00762939,-0.00488281,-0.0247192,-0.0189209
2969,0.0411987,-0.0430298,-0.0689697,-0.0158691,0.0332642,-0.067749,-0.0131226,0.12085,0.00427246,0.0369263,0.0305176,0.0152588,0.00762939,-0.00488281,-0.0247192,-0.0189209
3059,0.0427246,-0.0421143,-0.0704956,-0.0161743,0.0332642,-0.0683594,-0.0134277,0.119324,0.00457764,0.0375366,0.0338745,0.0164795,0.0088501,-0.00457764,-0.0247192,-0.0192261
3059,0.0427246,-0.0421143,-0.0704956,-0.0161743,0.0332642,-0.0683594,-0.0134277,0.119324,0.00457764,0.0375366,0.0338745,0.0164795,0.0088501,-0.00457764,-0.0247192,-0.0192261
3169,0.0473022,-0.0402832,-0.0689697,-0.0146484,0.0268555,-0.071106,-0.0119019,0.118713,0.00366211,0.0372314,0.0335693,0.017395,0.00823975,-0.00427246,-0.0238037,-0.0189209
3169,0.0473022,-0.0402832,-0.0689697,-0.0146484,0.0268555,-0.071106,-0.0119019,0.118713,0.00366211,0.0372314,0.0335693,0.017395,0.00823975,-0.00427246,-0.0238037,-0.0189209
3269,0.050354,-0.0421143,-0.0701904,-0.0134277,0.0222778,-0.0741577,-0.0100708,0.119019,0.00396729,0.0369263,0.032959,0.0167847,0.00793457,-0.00488281,-0.0238037,-0.0189209
3269,0.050354,-0.0421143,-0.0701904,-0.0134277,0.0222778,-0.0741577,-0.0100708,0.119019,0.00396729,0.0369263,0.032959,0.0167847,0.00793457,-0.00488281,-0.0238037,-0.0189209
3379,0.0512695,-0.0421143,-0.0726318,-0.0143433,0.0250244,-0.072937,-0.0106812,0.119324,0.00213623,0.0366211,0.0323486,0.0164795,0.00732422,-0.00457764,-0.0247192,-0.0195312
