Scan,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
3681,-0.00366211,-0.000915527,-0.000610352,-0.0012207,0.000305176,-0.00244141,0.000305176,-0.00335693,-0.00274658,-0.00183105,-0.00427246,0,-0.0012207,-0.00305176,-0.00213623,-0.000305176
3781,-0.00366211,-0.000915527,0,-0.00152588,-0.000915527,-0.00183105,0.000610352,-0.00396729,-0.00274658,-0.00183105,-0.00366211,0,-0.0012207,-0.00213623,-0.00213623,-0.0012207
3781,-0.00366211,-0.000915527,0,-0.00152588,-0.000915527,-0.00183105,0.000610352,-0.00396729,-0.00274658,-0.00183105,-0.00366211,0,-0.0012207,-0.00213623,-0.00213623,-0.0012207
3881,-0.00244141,-0.00183105,-0.0012207,-0.0012207,-0.000305176,-0.00305176,-0.000305176,-0.00335693,-0.00183105,-0.0012207,-0.00335693,0,-0.00152588,-0.0012207,-0.00213623,-0.0012207
3881,-0.00244141,-0.00183105,-0.0012207,-0.0012207,-0.000305176,-0.00305176,-0.000305176,-0.00335693,-0.00183105,-0.0012207,-0.00335693,0,-0.00152588,-0.0012207,-0.00213623,-0.0012207
3981,-0.00335693,-0.00244141,-0.000915527,-0.00213623,-0.00183105,-0.0012207,0,-0.00396729,-0.00244141,-0.00244141,-0.00396729,-0.000305176,-0.00244141,-0.00213623,-0.00274658,-0.000915527
3981,-0.00335693,-0.00244141,-0.000915527,-0.00213623,-0.00183105,-0.0012207,0,-0.00396729,-0.00244141,-0.00244141,-0.00396729,-0.000305176,-0.00244141,-0.00213623,-0.00274658,-0.000915527
4091,-0.00366211,-0.000915527,0.000305176,-0.00183105,-0.000305176,-0.00244141,-0.000305176,-0.00427246,-0.0012207,-0.0012207,-0.00427246,0,-0.0012207,-0.00183105,-0.00244141,0
4091,-0.00366211,-0.000915527,0.000305176,-0.00183105,-0.000305176,-0.00244141,-0.000305176,-0.00427246,-0.0012207,-0.0012207,-0.00427246,0,-0.0012207,-0.00183105,-0.00244141,0
4181,-0.00335693,-0.000915527,0.000305176,-0.00183105,-0.00152588,-0.00183105,0,-0.00274658,-0.00183105,-0.00152588,-0.00366211,-0.000305176,-0.00183105,-0.00274658,-0.00244141,-0.000915527
4181,-0.00335693,-0.000915527,0.000305176,-0.00183105,-0.00152588,-0.00183105,0,-0.00274658,-0.00183105,-0.00152588,-0.00366211,-0.000305176,-0.00183105,-0.00274658,-0.00244141,-0.000915527
4291,-0.00335693,-0.000915527,-0.000610352,-0.0012207,-0.0012207,-0.00244141,-0.000915527,-0.00396729,-0.00305176,-0.00183105,-0.00335693,-0.000305176,-0.00152588,-0.00213623,-0.00335693,-0.000305176
4291,-0.00335693,-0.000915527,-0.000610352,-0.0012207,-0.0012207,-0.00244141,-0.000915527,-0.00396729,-0.00305176,-0.00183105,-0.00335693,-0.000305176,-0.00152588,-0.00213623,-0.00335693,-0.000305176
